Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
1200 5th St, Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketweb.com%2Fvenue%2F1200-5th-st--seattle-wa%2F765384&utm_medium=affiliate,Ticketmaster,tmv-rZ7HnEZ17qPC7,80
Aberdeen Theatre,Aberdeen,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305555,85
D & R Theater,Aberdeen,WA,,,West,Theatre,,,,Ticketmaster,tmv-ZFr9jZ1A1k,75
D & R Theatre,Aberdeen,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Aberdeen%2C%20WA%20-%20D%20%26%20R%20Theatre.jpg,http://www.dandrtheatre.rocks,WikidataSPARQL,wd-Q43305239,90
Harbor Vue Drive-In,Aberdeen,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305453,85
New Bijou Theatre,Aberdeen,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305556,85
Opera House,Aberdeen,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q66764632,85
Riverside Cinema,Aberdeen,WA,,,West,Venue,,,http://www.catheatres.com,WikidataSPARQL,wd-Q43305557,90
Weir Theatre,Aberdeen,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305558,85
BECU Live at Northern Quest,Airway Heights,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fbecu-live-at-northern-quest-tickets-airway-heights%2Fvenue%2F124025&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AiIF,80
BECU Live Outdoor Venue,Airway Heights,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaA7_,75
Northern Quest Resort and Casino,Airway Heights,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fnorthern-quest-resort-and-casino-tickets-airway-heights%2Fvenue%2F123857&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAIv7JA,80
Spokane Live at Spokane Tribe Casino,Airway Heights,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAKZ,75
Royal Bear,Algona,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Froyal-bear-tickets-algona%2Fvenue%2F123269&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1tl6A,80
Anacortes Cinemas,Anacortes,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Anacortes%20Cinemas%2001.jpg,http://www.farawayentertainment.com,WikidataSPARQL,wd-Q43305243,90
Circus Drive-In,Anacortes,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305454,85
Empire Theater,Anacortes,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Anacortes%20-%20Burton%20Jeweler%2001.jpg,,WikidataSPARQL,wd-Q43305242,85
Island Theatre,Anacortes,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Anacortes%20-%20Bank%20of%20the%20Pacific.jpg,,WikidataSPARQL,wd-Q43305241,85
Swinomish Casino,Anacortes,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAh3,75
