Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
Climate Pledge Arena,Seattle,WA,,,West,Arena,,https://s1.ticketm.net/dbimages/23709v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fclimate-pledge-arena-tickets-seattle%2Fvenue%2F123894&utm_medium=affiliate,Ticketmaster,tmv-KovZ917Ahkk,80
Paramount Theatre,Seattle,WA,,,West,Theatre,,https://s1.ticketm.net/dbimages/23286v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fparamount-theatre-tickets-seattle%2Fvenue%2F122980&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFkvEA,80
WAMU Theater,Seattle,WA,,,West,Theatre,,https://s1.ticketm.net/dbimages/19828v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fwamu-theater-tickets-seattle%2Fvenue%2F123666&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFFE7A,80
Lumen Field,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flumen-field-tickets-seattle%2Fvenue%2F123449&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAEknnA,80
Tacoma Dome,Tacoma,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/23254v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftacoma-dome-tickets-tacoma%2Fvenue%2F122998&utm_medium=affiliate,Ticketmaster,tmv-KovZpa3zGe,80
Angel Of The Winds Arena,Everett,WA,,,West,Arena,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fangel-of-the-winds-arena-tickets-everett%2Fvenue%2F123902&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AhRn,80
Moore Theatre,Seattle,WA,,,West,Theatre,,https://s1.ticketm.net/dbimages/23273v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmoore-theatre-tickets-seattle%2Fvenue%2F122968&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1vFJA,80
Neptune Theatre,Seattle,WA,,,West,Theatre,,https://s1.ticketm.net/dbimages/23169v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fneptune-theatre-tickets-seattle%2Fvenue%2F123797&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFnltA,80
Toyota Center Kennewick,Kennewick,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/23295v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftoyota-center-kennewick-tickets-kennewick%2Fvenue%2F122920&utm_medium=affiliate,Ticketmaster,tmv-KovZpa34pe,80
Gorge Amphitheatre,George,WA,,,West,Amphitheatre,,https://s1.ticketm.net/dbimages/22974v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fgorge-amphitheatre-tickets-george%2Fvenue%2F122913&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAEkk1A,80
