Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Social Links,Source(s),Venue ID,Confidence
Bing Crosby Theater,Spokane,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Clemmer%20Theater.JPG,http://www.bingcrosbytheater.com,,WikidataSPARQL,wd-Q4914123,95
Fox Theatre,Spokane,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Fox%20Theater%20Spokane.JPG,https://foxtheaterspokane.org/,,WikidataSPARQL,wd-Q5476991,95
Nifty Theatre,Waterville,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Nifty%20Theatre.jpg,,,WikidataSPARQL,wd-Q7032144,92
Pantages Theater,Tacoma,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Pantages%20Theater.jpg,http://www.broadwaycenter.org,,WikidataSPARQL,wd-Q20712322,95
"Blue Mouse Theatre, North End",Tacoma,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Blue%20Mouse%20Theater%20%28Tacoma%2C%20Washington%29.jpg,http://www.bluemousetheatre.com,,WikidataSPARQL,wd-Q43305244,95
Liberty Theater,Puyallup,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Puyallup%2C%20WA%20-%20Liberty%20Theater%2001.jpg,http://www.thelibertytheater.com,,WikidataSPARQL,wd-Q43305404,95
Bel-Vue Theatre,Bellevue,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305569,92
John Danz Theatre,Bellevue,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305573,92
American Theatre,Bellingham,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305579,92
Avalon Theatre,Bellingham,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305580,92
Bell Theater,Bellingham,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305582,92
Grand Theater,Bellingham,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305583,92
Holly Theater,Bellingham,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305584,92
Liberty Theatre,Bellingham,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305585,92
Pickford Film Center,Bellingham,WA,,,West,Venue,,,http://www.pickfordfilmcenter.org,,WikidataSPARQL,wd-Q43305586,95
Apollo Theater,Everett,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305663,92
Balboa Theatre,Everett,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305664,92
Everett Motor Movie,Everett,WA,,,West,Venue,,,,,WikidataSPARQL,wd-Q43305666,92
Granada Theatre,Everett,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305667,92
Ray Theater,Olympia,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305765,92
Rex Theatre,Olympia,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305766,92
Roxy Theatre,Puyallup,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305800,92
Avalon Theater,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306854,92
Bandbox Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306858,92
Best Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306862,92
Dishman Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306864,92
Liberty Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306873,92
Lincoln Heights 4,Spokane,WA,,,West,Venue,,,,,WikidataSPARQL,wd-Q43306875,92
Lyons Avenue 4,Spokane,WA,,,West,Venue,,,,,WikidataSPARQL,wd-Q43306878,92
Lyric Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306881,92
Magic Lantern Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306883,92
Magic Lantern Theatre,Spokane,WA,,,West,Theatre,,,http://www.magiclanternspokane.com,,WikidataSPARQL,wd-Q43306886,95
Orpheum Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306895,92
Post Street Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306898,92
Rainbo Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306901,92
Rex Theater,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306910,92
Ritz Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306913,92
Strand Theater,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306927,92
Studio Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306931,92
Unique Theatre,Spokane,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306936,92
"Blue Mouse Theatre, Newtacoma",Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306951,92
Broadway Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306954,92
Cameo Theater,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306956,92
Capitol Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306959,92
Century Point Ruston and XD,Tacoma,WA,,,West,Venue,,,http://www.cinemark.com,,WikidataSPARQL,wd-Q43306961,95
"Community Theatre, East 56th Street",Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306963,92
"Community Theatre, South M Street",Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306965,92
Galaxy Narrows,Tacoma,WA,,,West,Venue,,,http://cinematreasures.org/theaters/40183,,WikidataSPARQL,wd-Q43306966,95
K Street Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306969,92
Liberty Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306970,92
Mecca Theater,Tacoma,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Mecca%20Theater.jpg,,,WikidataSPARQL,wd-Q43306976,92
Music Box Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306978,92
Narrows Theater,Tacoma,WA,,,West,Theatre,,,http://www.tmp.org,,WikidataSPARQL,wd-Q43306979,95
